Displacement [mm] - FD curve	Force [N] - FD curve	
2.74175	0.169215	
2.739	0.169011	
2.73625	0.168909	
2.7335	0.168502	
2.73075	0.168298	
2.728	0.16789	
2.72525	0.167686	
2.7225	0.167584	
2.71975	0.167176	
2.717	0.166972	
2.71425	0.166565	
2.7115	0.166361	
2.70875	0.166157	
2.706	0.165851	
2.70325	0.165647	
2.7005	0.165443	
2.69775	0.165036	
2.695	0.164934	
2.69225	0.16473	
2.6895	0.164322	
2.68675	0.164118	
2.684	0.163812	
2.68125	0.163609	
2.6785	0.163405	
2.67575	0.163099	
2.673	0.162895	
2.67025	0.162691	
2.6675	0.162283	
2.66475	0.162181	
2.662	0.161774	
2.65925	0.16157	
2.6565	0.161468	
2.65375	0.16106	
2.651	0.160958	
2.64825	0.160754	
2.6455	0.160449	
2.64275	0.160245	
2.64	0.159939	
2.63725	0.159735	
2.6345	0.159531	
2.63175	0.159225	
2.629	0.159021	
2.62625	0.158919	
2.6235	0.158512	
2.62075	0.15841	
2.618	0.158002	
2.61525	0.1579	
2.6125	0.157696	
2.60975	0.15739	
2.607	0.157187	
2.60425	0.157085	
2.6015	0.156779	
2.59875	0.156575	
2.596	0.156371	
2.59325	0.156065	
2.5905	0.155963	
2.58775	0.155657	
2.585	0.155454	
2.58225	0.155352	
2.5795	0.155046	
2.57675	0.154842	
2.574	0.154536	
2.57125	0.154434	
2.5685	0.15423	
2.56575	0.153925	
2.563	0.153823	
2.56025	0.153619	
2.5575	0.153313	
2.55475	0.153211	
2.552	0.152905	
2.54925	0.152701	
2.5465	0.152599	
2.54375	0.152192	
2.541	0.15209	
2.53825	0.151784	
2.5355	0.15158	
2.53275	0.151478	
2.53	0.151172	
2.52725	0.15107	
2.5245	0.150765	
2.52175	0.150561	
2.519	0.150459	
2.51625	0.150153	
2.5135	0.149949	
2.51075	0.149745	
2.508	0.149541	
2.50525	0.149337	
2.5025	0.149134	
2.49975	0.14893	
2.497	0.148726	
2.49425	0.148522	
2.4915	0.148318	
2.48875	0.148012	
2.486	0.14791	
2.48325	0.147706	
2.4805	0.147401	
2.47775	0.147299	
2.475	0.147095	
2.47225	0.146789	
2.4695	0.146687	
2.46675	0.146381	
2.464	0.146177	
2.46125	0.146075	
2.4585	0.14577	
2.45575	0.145668	
2.453	0.145362	
2.45025	0.14526	
2.4475	0.145056	
2.44475	0.14475	
2.442	0.144648	
2.43925	0.144444	
2.4365	0.144241	
2.43375	0.144037	
2.431	0.143731	
2.42825	0.143629	
2.4255	0.143425	
2.42275	0.143119	
2.42	0.143017	
2.41725	0.142712	
2.4145	0.14261	
2.41175	0.142406	
2.409	0.1421	
2.40625	0.141998	
2.4035	0.141794	
2.40075	0.14159	
2.398	0.141386	
2.39525	0.141081	
2.3925	0.140979	
2.38975	0.140673	
2.387	0.140571	
2.38425	0.140367	
2.3815	0.140163	
2.37875	0.139959	
2.376	0.139857	
2.37325	0.139551	
2.3705	0.139348	
2.36775	0.139144	
2.365	0.13894	
2.36225	0.138838	
2.3595	0.138532	
2.35675	0.13843	
2.354	0.138124	
2.35125	0.13792	
2.3485	0.137819	
2.34575	0.137513	
2.343	0.137411	
2.34025	0.137207	
2.3375	0.137003	
2.33475	0.136799	
2.332	0.136697	
2.32925	0.136391	
2.3265	0.13629	
2.32375	0.135984	
2.321	0.135882	
2.31825	0.135678	
2.3155	0.135474	
2.31275	0.13527	
2.31	0.135066	
2.30725	0.134862	
2.3045	0.13476	
2.30175	0.134455	
2.299	0.134353	
2.29625	0.134251	
2.2935	0.133945	
