Freq.	-V(n001)/I(V1)	-V(n056)/I(V2)
3.94000000000000e+002	(1.16879221694532e+002dB,8.99999967162873e+001°)	(1.27040115391855e+002dB,8.99999980660038e+001°)
3.95000000000000e+002	(1.16973196493827e+002dB,8.99999967481099e+001°)	(1.27067948672803e+002dB,8.99999980684860e+001°)
3.96000000000000e+002	(1.17066082301573e+002dB,8.99999967792087e+001°)	(1.27095747618117e+002dB,8.99999980709438e+001°)
3.97000000000000e+002	(1.17157904545420e+002dB,8.99999968096081e+001°)	(1.27123512572299e+002dB,8.99999980733775e+001°)
3.98000000000000e+002	(1.17248687798960e+002dB,8.99999968393313e+001°)	(1.27151243878103e+002dB,8.99999980757871e+001°)
3.99000000000000e+002	(1.17338455819362e+002dB,8.99999968684002e+001°)	(1.27178941876562e+002dB,8.99999980781728e+001°)
4.00000000000000e+002	(1.17427231583029e+002dB,8.99999968968363e+001°)	(1.27206606907010e+002dB,8.99999980805346e+001°)
4.01000000000000e+002	(1.17515037319289e+002dB,8.99999969246596e+001°)	(1.27234239307109e+002dB,8.99999980828728e+001°)
4.02000000000000e+002	(1.17601894542322e+002dB,8.99999969518895e+001°)	(1.27261839412866e+002dB,8.99999980851873e+001°)
4.03000000000000e+002	(1.17687824081359e+002dB,8.99999969785448e+001°)	(1.27289407558658e+002dB,8.99999980874784e+001°)
4.04000000000000e+002	(1.17772846109365e+002dB,8.99999970046432e+001°)	(1.27316944077259e+002dB,8.99999980897461e+001°)
4.05000000000000e+002	(1.17856980170178e+002dB,8.99999970302018e+001°)	(1.27344449299857e+002dB,8.99999980919905e+001°)
4.06000000000000e+002	(1.17940245204316e+002dB,8.99999970552370e+001°)	(1.27371923556076e+002dB,8.99999980942118e+001°)
4.07000000000000e+002	(1.18022659573424e+002dB,8.99999970797645e+001°)	(1.27399367174004e+002dB,8.99999980964101e+001°)
4.08000000000000e+002	(1.18104241083555e+002dB,8.99999971037994e+001°)	(1.27426780480206e+002dB,8.99999980985854e+001°)
4.09000000000000e+002	(1.18185007007239e+002dB,8.99999971273563e+001°)	(1.27454163799753e+002dB,8.99999981007379e+001°)
4.10000000000000e+002	(1.18264974104501e+002dB,8.99999971504490e+001°)	(1.27481517456239e+002dB,8.99999981028677e+001°)
