Freq.	I(V1)	I(V1)/(2*pi*freq)	I(V2)	I(V2)/(2*pi*freq)
1.21618600064636e+002	(-4.33085844550980e+001dB,-9.00003910723139e+001°)	(-1.00972181822260e+002dB,-9.00003910723139e+001°)	(-9.83002288076077e+001dB,8.99996070980095e+001°)	(-1.55963826174770e+002dB,8.99996070980095e+001°)
1.21898959892486e+002	(-4.32830019868153e+001dB,-9.00003922260851e+001°)	(-1.00966599353978e+002dB,-9.00003922260851e+001°)	(-9.82746203895990e+001dB,8.99996059400165e+001°)	(-1.55958217756761e+002dB,8.99996059400165e+001°)
1.22179966016487e+002	(-4.32573901323463e+001dB,-9.00003933845922e+001°)	(-1.00960987499509e+002dB,-9.00003933845922e+001°)	(-9.82489824654663e+001dB,8.99996047772778e+001°)	(-1.55952579832629e+002dB,8.99996047772778e+001°)
1.22461619926504e+002	(-4.32317487178427e+001dB,-9.00003945478652e+001°)	(-1.00955346085005e+002dB,-9.00003945478652e+001°)	(-9.82233148608061e+001dB,8.99996036097636e+001°)	(-1.55946912227968e+002dB,8.99996036097636e+001°)
1.22743923115840e+002	(-4.32060775682248e+001dB,-9.00003957159339e+001°)	(-1.00949674935387e+002dB,-9.00003957159339e+001°)	(-9.81976173999812e+001dB,8.99996024374437e+001°)	(-1.55941214767143e+002dB,8.99996024374437e+001°)
1.23026877081238e+002	(-4.31803765071714e+001dB,-9.00003968888286e+001°)	(-1.00943973874334e+002dB,-9.00003968888286e+001°)	(-9.81718899061100e+001dB,8.99996012602880e+001°)	(-1.55935487273272e+002dB,8.99996012602880e+001°)
1.23310483322890e+002	(-4.31546453571079e+001dB,-9.00003980665799e+001°)	(-1.00938242724270e+002dB,-9.00003980665799e+001°)	(-9.81461322010553e+001dB,8.99996000782659e+001°)	(-1.55929729568218e+002dB,8.99996000782659e+001°)
1.23594743344450e+002	(-4.31288839391960e+001dB,-9.00003992492187e+001°)	(-1.00932481306358e+002dB,-9.00003992492187e+001°)	(-9.81203441054132e+001dB,8.99995988913465e+001°)	(-1.55923941472575e+002dB,8.99995988913465e+001°)
1.23879658653036e+002	(-4.31030920733219e+001dB,-9.00004004367759e+001°)	(-1.00926689440484e+002dB,-9.00004004367759e+001°)	(-9.80945254385018e+001dB,8.99995976994986e+001°)	(-1.55918122805664e+002dB,8.99995976994986e+001°)
1.24165230759240e+002	(-4.30772695780853e+001dB,-9.00004016292830e+001°)	(-1.00920866945248e+002dB,-9.00004016292830e+001°)	(-9.80686760183501e+001dB,8.99995965026910e+001°)	(-1.55912273385512e+002dB,8.99995965026910e+001°)
