Freq.	-V(n001)/I(V2)	-V(n023)/I(V1)
1.54000000000000e+002	(1.38008724421027e+002dB,-8.99999999468114e+001°)	(1.26442613890914e+002dB,8.99999993287907e+001°)
1.55000000000000e+002	(1.37942999661636e+002dB,-8.99999999463872e+001°)	(1.26508322711799e+002dB,8.99999993323844e+001°)
1.56000000000000e+002	(1.37877560525906e+002dB,-8.99999999459613e+001°)	(1.26573745805832e+002dB,8.99999993359251e+001°)
1.57000000000000e+002	(1.37812402074807e+002dB,-8.99999999455336e+001°)	(1.26638888112041e+002dB,8.99999993394137e+001°)
1.58000000000000e+002	(1.37747519453824e+002dB,-8.99999999451041e+001°)	(1.26703754484942e+002dB,8.99999993428512e+001°)
1.59000000000000e+002	(1.37682907890687e+002dB,-8.99999999446729e+001°)	(1.26768349696800e+002dB,8.99999993462384e+001°)
1.60000000000000e+002	(1.37618562693207e+002dB,-8.99999999442398e+001°)	(1.26832678439811e+002dB,8.99999993495762e+001°)
1.61000000000000e+002	(1.37554479247124e+002dB,-8.99999999438048e+001°)	(1.26896745328231e+002dB,8.99999993528656e+001°)
1.62000000000000e+002	(1.37490653014068e+002dB,-8.99999999433680e+001°)	(1.26960554900427e+002dB,8.99999993561074e+001°)
1.63000000000000e+002	(1.37427079529564e+002dB,-8.99999999429293e+001°)	(1.27024111620879e+002dB,8.99999993593023e+001°)
1.64000000000000e+002	(1.37363754401083e+002dB,-8.99999999424887e+001°)	(1.27087419882112e+002dB,8.99999993624512e+001°)
1.65000000000000e+002	(1.37300673306167e+002dB,-8.99999999420462e+001°)	(1.27150484006577e+002dB,8.99999993655548e+001°)
1.66000000000000e+002	(1.37237831990626e+002dB,-8.99999999416017e+001°)	(1.27213308248479e+002dB,8.99999993686140e+001°)
1.67000000000000e+002	(1.37175226266714e+002dB,-8.99999999411553e+001°)	(1.27275896795545e+002dB,8.99999993716295e+001°)
1.68000000000000e+002	(1.37112852011477e+002dB,-8.99999999407068e+001°)	(1.27338253770746e+002dB,8.99999993746019e+001°)
1.69000000000000e+002	(1.37050705165008e+002dB,-8.99999999402564e+001°)	(1.27400383233970e+002dB,8.99999993775321e+001°)
1.70000000000000e+002	(1.36988781728897e+002dB,-8.99999999398039e+001°)	(1.27462289183642e+002dB,8.99999993804206e+001°)
1.71000000000000e+002	(1.36927077764592e+002dB,-8.99999999393493e+001°)	(1.27523975558308e+002dB,8.99999993832682e+001°)
1.72000000000000e+002	(1.36865589391890e+002dB,-8.99999999388927e+001°)	(1.27585446238167e+002dB,8.99999993860756e+001°)
1.73000000000000e+002	(1.36804312787456e+002dB,-8.99999999384340e+001°)	(1.27646705046560e+002dB,8.99999993888432e+001°)
1.74000000000000e+002	(1.36743244183347e+002dB,-8.99999999379731e+001°)	(1.27707755751425e+002dB,8.99999993915719e+001°)
1.75000000000000e+002	(1.36682379865619e+002dB,-8.99999999375102e+001°)	(1.27768602066706e+002dB,8.99999993942621e+001°)
1.76000000000000e+002	(1.36621716172946e+002dB,-8.99999999370450e+001°)	(1.27829247653728e+002dB,8.99999993969146e+001°)
1.77000000000000e+002	(1.36561249495288e+002dB,-8.99999999365776e+001°)	(1.27889696122532e+002dB,8.99999993995298e+001°)
1.78000000000000e+002	(1.36500976272587e+002dB,-8.99999999361080e+001°)	(1.27949951033175e+002dB,8.99999994021083e+001°)
1.79000000000000e+002	(1.36440892993500e+002dB,-8.99999999356362e+001°)	(1.28010015896997e+002dB,8.99999994046507e+001°)
1.80000000000000e+002	(1.36380996194168e+002dB,-8.99999999351621e+001°)	(1.28069894177857e+002dB,8.99999994071576e+001°)
1.81000000000000e+002	(1.36321282457014e+002dB,-8.99999999346857e+001°)	(1.28129589293331e+002dB,8.99999994096294e+001°)
