Freq.	-V(n001)/I(V1)	-V(n003)/I(V2)
2.85101826750394e+002	(1.44000577150407e+002dB,-9.00000000000000e+001°)	(1.00837985134592e+002dB,8.99999994724816e+001°)
2.86747737558135e+002	(1.43950577150407e+002dB,-9.00000000000000e+001°)	(1.00888683994730e+002dB,8.99999994754673e+001°)
2.88403150312664e+002	(1.43900577150407e+002dB,-9.00000000000000e+001°)	(1.00939391004501e+002dB,8.99999994784356e+001°)
2.90068119869318e+002	(1.43850577150407e+002dB,-9.00000000000000e+001°)	(1.00990106259616e+002dB,8.99999994813867e+001°)
2.91742701400120e+002	(1.43800577150407e+002dB,-9.00000000000000e+001°)	(1.01040829856926e+002dB,8.99999994843205e+001°)
2.93426950395600e+002	(1.43750577150407e+002dB,-9.00000000000000e+001°)	(1.01091561894435e+002dB,8.99999994872373e+001°)
2.95120922666642e+002	(1.43700577150407e+002dB,-9.00000000000000e+001°)	(1.01142302471316e+002dB,8.99999994901370e+001°)
2.96824674346327e+002	(1.43650577150407e+002dB,-9.00000000000000e+001°)	(1.01193051687922e+002dB,8.99999994930199e+001°)
2.98538261891799e+002	(1.43600577150407e+002dB,-9.00000000000000e+001°)	(1.01243809645805e+002dB,8.99999994958859e+001°)
3.00261742086130e+002	(1.43550577150407e+002dB,-9.00000000000000e+001°)	(1.01294576447728e+002dB,8.99999994987352e+001°)
3.01995172040205e+002	(1.43500577150407e+002dB,-9.00000000000000e+001°)	(1.01345352197679e+002dB,8.99999995015679e+001°)
3.03738609194614e+002	(1.43450577150407e+002dB,-9.00000000000000e+001°)	(1.01396137000889e+002dB,8.99999995043841e+001°)
3.05492111321555e+002	(1.43400577150407e+002dB,-9.00000000000000e+001°)	(1.01446930963845e+002dB,8.99999995071839e+001°)
3.07255736526748e+002	(1.43350577150407e+002dB,-9.00000000000000e+001°)	(1.01497734194306e+002dB,8.99999995099673e+001°)
3.09029543251363e+002	(1.43300577150407e+002dB,-9.00000000000000e+001°)	(1.01548546801319e+002dB,8.99999995127345e+001°)
3.10813590273951e+002	(1.43250577150407e+002dB,-9.00000000000000e+001°)	(1.01599368895233e+002dB,8.99999995154855e+001°)
3.12607936712399e+002	(1.43200577150407e+002dB,-9.00000000000000e+001°)	(1.01650200587719e+002dB,8.99999995182204e+001°)
3.14412642025883e+002	(1.43150577150407e+002dB,-9.00000000000000e+001°)	(1.01701041991783e+002dB,8.99999995209394e+001°)
3.16227766016841e+002	(1.43100577150407e+002dB,-9.00000000000000e+001°)	(1.01751893221783e+002dB,8.99999995236425e+001°)
3.18053368832956e+002	(1.43050577150407e+002dB,-9.00000000000000e+001°)	(1.01802754393447e+002dB,8.99999995263298e+001°)
3.19889510969143e+002	(1.43000577150407e+002dB,-9.00000000000000e+001°)	(1.01853625623888e+002dB,8.99999995290014e+001°)
3.21736253269564e+002	(1.42950577150407e+002dB,-9.00000000000000e+001°)	(1.01904507031622e+002dB,8.99999995316574e+001°)
3.23593656929632e+002	(1.42900577150407e+002dB,-9.00000000000000e+001°)	(1.01955398736587e+002dB,8.99999995342978e+001°)
3.25461783498050e+002	(1.42850577150407e+002dB,-9.00000000000000e+001°)	(1.02006300860159e+002dB,8.99999995369228e+001°)
3.27340694878842e+002	(1.42800577150407e+002dB,-9.00000000000000e+001°)	(1.02057213525169e+002dB,8.99999995395325e+001°)
3.29230453333410e+002	(1.42750577150407e+002dB,-9.00000000000000e+001°)	(1.02108136855921e+002dB,8.99999995421268e+001°)
3.31131121482595e+002	(1.42700577150407e+002dB,-9.00000000000000e+001°)	(1.02159070978214e+002dB,8.99999995447060e+001°)
